time;solrad;Tout;occ
0;32.83333333;6.399999619;0
3600;32.83333333;6.399999619;0
7200;32.83333333;5.399999619;0
10800;32.83333333;4.399999619;0
14400;38;7.399999619;0
18000;120.6733322;11.39999962;0
21600;180.6079987;13.89999962;0
25200;339.1466624;15.6500001;0
28800;498.8799947;19.15000153;0
32400;595.3600057;21.90000153;1
36000;646.6133219;23.06666819;1
39600;650.752002;20.90000153;1
43200;646.8799947;20.90000153;1
46800;375.4933383;18.40000153;1
50400;222.5199992;16.90000057;1
54000;287.0079987;16.90000057;1
57600;216.0399971;16.90000057;1
61200;118.6866646;15.39999962;1
64800;43.25;14.39999962;0
68400;0;12.89999962;0
72000;0;11.39999962;0
75600;0;10.39999962;0
79200;0;9.399999619;0
82800;0;8.399999619;0
86400;0;8.399999619;0
90000;0;7.399999619;0
93600;0;6.399999619;0
97200;0;6.399999619;0
100800;39.2;8.899999619;0
104400;109.5100002;13.39999962;0
108000;203.0399963;18.40000114;0
111600;321.3333282;21.90000153;0
115200;489.4933268;23.23333486;0
118800;583.1999969;24.60000153;1
122400;623.1466675;25.23333486;1
126000;587.2799988;24.00000153;1
129600;229.8400014;19.90000153;1
133200;318.7199949;19.90000153;1
136800;152.1666654;17.40000153;1
140400;236.3333257;18.40000153;1
144000;148.526666;18.40000153;1
147600;91.01599884;17.40000153;1
151200;28;16.39999962;0
154800;0;14.89999962;0
158400;0;12.39999962;0
162000;0;10.39999962;0
165600;0;9.399999619;0
169200;0;8.399999619;0
172800;0;8.399999619;0
176400;0;8.399999619;0
180000;0;7.399999619;0
183600;0;7.399999619;0
187200;31.4;8.899999619;0
190800;107.5133324;10.89999962;0
194400;191.7066625;12.89999962;0
198000;321.3599955;15.39999962;0
201600;478.7840027;17.73333486;0
205200;573.013326;18.06666819;1
208800;614.4;18.06666819;1
212400;649.2159912;18.90000153;1
216000;618.2400055;17.40000153;1
219600;547.6799927;17.40000153;1
223200;449.3866628;16.39999962;1
226800;315.2319946;16.39999962;1
230400;206.6666667;15.39999962;1
234000;104.679999;14.39999962;1
237600;23.6;12.89999962;0
241200;23.6;11.39999962;0
244800;23.6;10.39999962;0
248400;23.6;9.399999619;0
252000;23.6;9.399999619;0
255600;23.6;8.399999619;0
259200;23.6;8.399999619;0
262800;23.6;7.399999619;0
266400;23.6;7.399999619;0
270000;23.6;7.399999619;0
273600;38;9.899999619;0
277200;113.1866659;12.89999962;0
280800;204.706665;16.47999992;0
284400;340.1866659;18;0
288000;506.5066732;19.83333333;0
291600;602.0266622;19;1
295200;667.5199951;20.5;1
298800;667.2533264;18.5;1
302400;657.2159912;16.5;1
306000;574.6666667;16.5;1
309600;469.3333282;16.5;1
313200;329.5679993;16.5;1
316800;218.6933339;15.5;1
320400;114.0199979;14.5;1
324000;33.66666667;13;0
327600;3;11.5;0
331200;3;10.5;0
334800;3;9.5;0
338400;3;8.5;0
342000;3;8.5;0
345600;3;7.5;0
349200;3;7.5;0
352800;3;6.5;0
356400;3;6.5;0
360000;39.4;8.5;0
363600;112.2599983;11;0
367200;196.1733348;12.5;0
370800;282.3199972;14;0
374400;371.0719971;15.60000038;0
378000;593.4080078;16.60000038;1
381600;639.2533366;17.70000076;1
385200;632.7466634;16.70000076;1
388800;593.5466665;15.70000076;1
392400;568.4479858;15.70000076;1
396000;461.5466665;15.70000076;1
399600;244.8533312;15.70000076;1
403200;48.2;13.70000076;1
406800;48.2;11.30000076;1
410400;48.2;10.70000076;0
414000;48.2;10.70000076;0
417600;48.2;9.700000763;0
421200;48.2;7.700000763;0
424800;48.2;7.700000763;0
428400;48.2;6.700000763;0
432000;48.2;5.700000763;0
435600;48.2;5.700000763;0
439200;48.2;5.700000763;0
442800;48.2;4.700000763;0
446400;36;7.200000763;0
450000;134.623996;11.20000076;0
453600;184.1733322;14.0333341;0
457200;299.1200002;15.70000076;0
460800;526.3359863;17.80000076;0
464400;446.6933263;17.41428648;1
468000;590.8266652;17.20000076;1
471600;644.9600016;16.70000076;1
475200;556.8533274;14.70000076;1
478800;534.7199961;14.20000076;1
482400;492.8533325;13.70000076;1
486000;300.0266647;12.70000076;1
489600;178.6866646;12.70000076;1
493200;68.34000015;11.60000038;1
496800;7.666666667;10.10000038;0
500400;7.666666667;8.600000381;0
504000;7.666666667;8.600000381;0
507600;7.666666667;8.600000381;0
511200;7.666666667;10.10000038;0
514800;7.666666667;10.10000038;0
518400;7.666666667;9.100000381;0
522000;7.666666667;9.100000381;0
525600;7.666666667;7.600000381;0
529200;7.666666667;8.600000381;0
532800;20.66666667;9.600000381;0
536400;59.66666667;11.10000038;0
540000;170.423999;13.60000038;0
543600;164.1999944;15.60000038;0
547200;240.1866684;16.60000038;0
550800;208.2133306;16.70000076;1
554400;343.9999949;18.20000076;1
558000;467.466657;18.70000076;1
561600;354.1333364;17.70000076;1
565200;243.6159973;17.70000076;1
568800;161.6933327;17.20000076;1
572400;314.6933289;17.20000076;1
576000;166.3333333;16.70000076;1
579600;19.5;15.20000076;1
583200;16.75;13.20000076;0
586800;16.75;11.70000076;0
590400;16.75;11.70000076;0
594000;16.75;10.70000076;0
597600;16.75;10.70000076;0
601200;16.75;9.700000763;0
604800;16.75;9.700000763;0
