_run_,_error_,pcm.thermalConductor.G,pcm.Lf.Tmc,pcm.Lf.Tmh
1,0.0009698618573135416,15.0,293.8097634025535,297.15
2,0.0009700678271381446,15.0,293.8197244241421,297.15
3,0.0009700084453152932,15.0,293.798808226784,297.1499769799015
