_iter_,_method_,_error_,pcm.thermalConductor.G,pcm.Lf.Tmc,pcm.Lf.Tmh
1,GA,0.0013547089580866398,13.166666666666666,292.68333333333334,297.04999999999995
2,GA,0.0010621993015620728,10.5,293.6166666666666,297.04999999999995
3,GA,0.0010207125069950616,14.166666666666668,293.6601063541499,297.04999999999995
4,GA,0.0010207125069950616,14.166666666666668,293.6601063541499,297.04999999999995
5,GA,0.0010207125069950616,14.166666666666668,293.6601063541499,297.04999999999995
6,GA,0.0010207125069950616,14.166666666666668,293.6601063541499,297.04999999999995
7,GA,0.0010155565945752381,14.166666666666668,293.7446093953452,297.04999999999995
8,GA,0.0010155565945752381,14.166666666666668,293.7446093953452,297.04999999999995
9,GA,0.0009763483816606302,15.0,293.6601063541499,297.15
10,GA,0.0009763483816606302,15.0,293.6601063541499,297.15
11,GA,0.0009717083006742193,15.0,293.73328340328595,297.15
12,GA,0.0009712591215568743,15.0,293.7446093953452,297.15
13,GA,0.0009712591215568743,15.0,293.7446093953452,297.15
14,GA,0.0009712591215568743,15.0,293.7446093953452,297.15
15,GA,0.0009709308288474084,15.0,293.8713410620341,297.15
16,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
17,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
18,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
19,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
20,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
21,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
22,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
23,GA,0.0009705994239015523,15.0,293.77194959759134,297.15
24,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
25,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
26,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
27,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
28,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
29,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
30,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
31,GA,0.0009704256140610859,15.0,293.81893498400615,297.15
32,GA,0.000970073381076878,15.0,293.80977074068056,297.15
33,GA,0.000970073381076878,15.0,293.80977074068056,297.15
34,GA,0.000970073381076878,15.0,293.80977074068056,297.15
35,GA,0.000970073381076878,15.0,293.80977074068056,297.15
36,GA,0.000970073381076878,15.0,293.80977074068056,297.15
37,GA,0.000970073381076878,15.0,293.80977074068056,297.15
38,GA,0.000970073381076878,15.0,293.80977074068056,297.15
39,GA,0.000970073381076878,15.0,293.80977074068056,297.15
40,GA,0.000970073381076878,15.0,293.80977074068056,297.15
41,SCIPY[L-BFGS-B],0.000970073381076878,15.0,293.80977074068056,297.15
42,SCIPY[L-BFGS-B],0.0009698618573135416,15.0,293.8097634025535,297.15
