_iter_,_method_,_error_,pcm.thermalConductor.G,pcm.Lf.Tmc,pcm.Lf.Tmh
1,GA,0.0011361814834639653,9.166666666666668,293.34999999999997,297.04999999999995
2,GA,0.0010571502734652855,10.833333333333332,294.01666666666665,297.04999999999995
3,GA,0.0010571502734652855,10.833333333333332,294.01666666666665,297.04999999999995
4,GA,0.0010289146188834034,14.833333333333334,294.01666666666665,297.01931676482053
5,GA,0.0010171862434268915,14.833333333333334,294.01666666666665,297.04999999999995
6,GA,0.0010171862434268915,14.833333333333334,294.01666666666665,297.04999999999995
7,GA,0.0010171862434268915,14.833333333333334,294.01666666666665,297.04999999999995
8,GA,0.0009864332942861218,14.833333333333334,293.93435261374856,297.11694680615625
9,GA,0.0009864332942861218,14.833333333333334,293.93435261374856,297.11694680615625
10,GA,0.0009745166194444572,14.833333333333334,293.93435261374856,297.15
11,GA,0.0009717504501853111,14.833333333333334,293.7674300205911,297.15
12,GA,0.0009717504501853111,14.833333333333334,293.7674300205911,297.15
13,GA,0.0009717504501853111,14.833333333333334,293.7674300205911,297.15
14,GA,0.000971367800903055,14.833333333333334,293.8452576931227,297.15
15,GA,0.0009705822569328624,15.0,293.7674300205911,297.15
16,GA,0.0009705822569328624,15.0,293.7674300205911,297.15
17,GA,0.0009705822569328624,15.0,293.7674300205911,297.15
18,GA,0.0009704105129594014,15.0,293.8452576931227,297.15
19,GA,0.0009704105129594014,15.0,293.8452576931227,297.15
20,GA,0.0009704105129594014,15.0,293.8452576931227,297.15
21,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
22,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
23,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
24,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
25,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
26,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
27,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
28,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
29,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
30,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
31,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
32,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
33,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
34,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
35,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
36,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
37,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
38,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
39,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
40,GA,0.0009702112107802138,15.0,293.7988183894607,297.15
41,SCIPY[L-BFGS-B],0.0009702112107802138,15.0,293.7988183894607,297.15
42,SCIPY[L-BFGS-B],0.0009700084453152932,15.0,293.798808226784,297.1499769799015
