time,Tpcm
259200.0,290.34999999999997
259260.0,290.3483491674253
259320.0,290.3472468212748
259380.0,290.34616060679457
259440.0,290.34508039628093
259500.0,290.34345498144853
259560.0,290.3423750267466
259620.0,290.3407767554539
259680.0,290.33917023869157
259740.0,290.33757334098834
259800.0,290.33598173005
259860.0,290.3343984299906
259920.0,290.3328241893936
259980.0,290.331255189881
260040.0,290.3302465218641
260100.0,290.32868952616224
260160.0,290.32714071394906
260220.0,290.3255998381736
260280.0,290.32406771043406
260340.0,290.3225429363149
260400.0,290.3210255079232
260460.0,290.31951320902607
260520.0,290.31800749382177
260580.0,290.31650883358697
260640.0,290.3150173696989
260700.0,290.31353313349905
260760.0,290.3120561196086
260820.0,290.31058631037627
260880.0,290.3091236840317
260940.0,290.30766822182864
261000.0,290.30591514757316
261060.0,290.3039679404687
261120.0,290.3024241994024
261180.0,290.3010027153619
261240.0,290.2995894993255
261300.0,290.29761800230665
261360.0,290.2956564009029
261420.0,290.2937062743504
261480.0,290.2917652967822
261540.0,290.2898334447778
261600.0,290.28790779000417
261660.0,290.2859905050285
261720.0,290.28408172084266
261780.0,290.28181734866763
261840.0,290.27982319122253
261900.0,290.2779348908281
261960.0,290.2760686281607
262020.0,290.2742112922489
262080.0,290.2723628586177
262140.0,290.2705233024114
262200.0,290.2686890694425
262260.0,290.2664958066102
262320.0,290.2645744705906
262380.0,290.2627595277992
262440.0,290.2609663807048
262500.0,290.25918195291814
262560.0,290.2574062190202
262620.0,290.2556391532425
262680.0,290.2538772842905
262740.0,290.2521240490896
262800.0,290.25037874563895
262860.0,290.2486420352658
262920.0,290.2469137591284
262980.0,290.24519399251807
263040.0,290.24316630472305
263100.0,290.2413693517827
263160.0,290.23966901123896
263220.0,290.23798944391285
263280.0,290.2363182487233
263340.0,290.2346553990422
263400.0,290.23300086794137
263460.0,290.23135132278173
263520.0,290.22971005988967
263580.0,290.22807640393415
263640.0,290.22645098733415
263700.0,290.22483365571316
263760.0,290.22322447986926
263820.0,290.2216234689362
263880.0,290.2200306008391
263940.0,290.2184458448314
264000.0,290.2168691703001
264060.0,290.21530054815435
264120.0,290.2140213659201
264180.0,290.2130070374706
264240.0,290.21155189146106
264300.0,290.21001209523826
264360.0,290.2084804490939
264420.0,290.20695635727327
264480.0,290.20544066080805
264540.0,290.2039345791416
264600.0,290.2024338807177
