_iter_,_method_,_error_,pcm.thermalConductor.G,pcm.Lf.Tmc,pcm.Lf.Tmh
1,GA,0.0011308606083463,7.166666666666667,293.6166666666666,297.04999999999995
2,GA,0.0011308606083463,7.166666666666667,293.6166666666666,297.04999999999995
3,GA,0.0010931483004664143,8.66999107902389,293.6166666666666,297.04999999999995
4,GA,0.0010791451248280408,9.380859640821718,293.6166666666666,297.04999999999995
5,GA,0.0010791451248280408,9.380859640821718,293.6166666666666,297.04999999999995
6,GA,0.001019798669301371,14.504793328849344,294.01666666666665,297.04999999999995
7,GA,0.001019798669301371,14.504793328849344,294.01666666666665,297.04999999999995
8,GA,0.0010165709789996852,14.901150330307168,294.01666666666665,297.04999999999995
9,GA,0.0010165709789996852,14.901150330307168,294.01666666666665,297.04999999999995
10,GA,0.0009853031307114136,14.286900520138335,294.01666666666665,297.15
11,GA,0.0009853031307114136,14.286900520138335,294.01666666666665,297.15
12,GA,0.0009706232081638139,14.949596308213383,293.8429100821117,297.15
13,GA,0.0009706232081638139,14.949596308213383,293.8429100821117,297.15
14,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
15,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
16,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
17,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
18,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
19,GA,0.0009702356153102333,15.0,293.8429100821117,297.15
20,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
21,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
22,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
23,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
24,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
25,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
26,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
27,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
28,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
29,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
30,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
31,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
32,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
33,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
34,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
35,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
36,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
37,GA,0.0009701198109949024,15.0,293.80324109558404,297.15
38,GA,0.0009701006861384975,15.0,293.81972752774743,297.15
39,GA,0.0009701006861384975,15.0,293.81972752774743,297.15
40,GA,0.0009701006861384975,15.0,293.81972752774743,297.15
41,SCIPY[L-BFGS-B],0.0009701006861384975,15.0,293.81972752774743,297.15
42,SCIPY[L-BFGS-B],0.0009700678271381446,15.0,293.8197244241421,297.15
