time;air.T
0.0;293.15
900.0;293.21429898866035
1800.0;293.270308478012
2700.0;293.32142933371614
3600.0;293.36607159277247
4500.0;293.4091163688315
5400.0;293.4507560699854
6300.0;293.4909759678351
7200.0;293.5296442632993
8100.0;293.56313868031083
9000.0;293.5951784336975
9900.0;293.62530007975323
10800.0;293.65312831036186
11700.0;293.67834395404265
12600.0;293.69723995636434
13500.0;293.713512362119
14400.0;293.7267124083739
15300.0;293.7474052999241
16200.0;293.77102333178146
17100.0;293.8011360608911
18000.0;293.8365670128887
18900.0;293.8725417154539
19800.0;293.9191818565795
20700.0;293.96900311120817
21600.0;294.02671862340264
22500.0;294.0548265531191
23400.0;294.0954523528317
24300.0;294.1711389107072
25200.0;294.2325514359959
26100.0;294.303198796477
27000.0;294.3838741097678
27900.0;294.47853815384855
28800.0;294.5813451758971
29700.0;294.69492176929884
30600.0;294.81781529994265
31500.0;294.942140279214
32400.0;295.0669001531429
33300.0;295.43418781338414
34200.0;295.7622450103325
35100.0;296.07116055795456
36000.0;296.35999860126213
36900.0;296.6524043212571
37800.0;296.92991724754063
38700.0;297.2090337133805
39600.0;297.4898824868373
40500.0;297.7590380871532
41400.0;298.0139949950932
42300.0;298.2595317185901
43200.0;298.52156712074867
44100.0;298.7743738280974
45000.0;299.0126471231287
45900.0;299.2557992585814
46800.0;299.49552109589376
47700.0;299.72344577008516
48600.0;299.9612395900911
49500.0;299.99420377955687
50400.0;300.02977220877165
51300.0;300.2128901201985
52200.0;300.26876323439984
53100.0;300.3383763675101
54000.0;300.4824499640304
54900.0;300.64326067049086
55800.0;300.77287974325566
56700.0;300.9473491428771
57600.0;301.1194416969806
58500.0;301.26217997608666
59400.0;301.4110043301985
60300.0;301.5392491614432
61200.0;301.66860628861616
62100.0;301.79698188988345
63000.0;301.91716249881824
63900.0;302.0396371509862
64800.0;302.15573189049354
65700.0;302.04007271249566
66600.0;301.96450504210696
67500.0;301.9005959641596
68400.0;301.8571714609148
69300.0;301.8131709365277
70200.0;301.7813459754457
71100.0;301.75850123691555
72000.0;301.7393169611427
72900.0;301.7265932068365
73800.0;301.7193856077854
74700.0;301.7136531045364
